xIreland   bad-1      M bronze 
Ireland    10-k       M bronze 
Ireland    11-k       f BRONZE 
Ireland    12-k       m sILVER 
Ireland    13-k       F Silver 
IRE        bad-2      F Silver 
Ireland    14-k       M   GoLd 
Ireland    15-k       F   gOlD 
Irelan     bad-3      F   gOlD 
Norw       bad-4      m bronze 
Spain      100m       m bronze 
Sweden     101m       f bronze 
France     102m       m silver 
Britain    103m       f silver 
USA        104m       m   gold 
Germany    105m       f   gold 
Norwa      bad-5      m bronze 
Norway     bad-6      m bronzy 
Norway     bad-7      m silvre 
Norway     bad-8      m  golly 
EOF
